Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
439,Honda City,Honda,2017,750000,1,Petrol
440,Hyundai Elite i20,Hyundai,2015,419000,1,Petrol
441,Maruti Suzuki Versa,Maruti,2004,90000,1,Petrol
442,Hyundai Eon Era,Hyundai,2018,140000,1,Petrol
443,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,1,Petrol
444,Hyundai i10 Magna,Hyundai,2008,275000,1,Petrol
445,Toyota Corolla H2,Toyota,2003,150000,1,Petrol
446,Maruti Suzuki Swift,Maruti,2011,230000,1,Petrol
447,Tata Indigo CS,Tata,2015,123000,1,Diesel
448,Mahindra Scorpio S10,Mahindra,2015,900000,1,Diesel
449,Mahindra Scorpio S10,Mahindra,2015,900000,1,Diesel
450,Hyundai Xcent Base,Hyundai,2016,300000,1,Diesel
451,Honda City,Honda,2015,499999,1,Petrol
452,Hyundai Accent Executive,Hyundai,2009,165000,1,Petrol
453,Maruti Suzuki Baleno,Maruti,2016,498000,1,Petrol
454,Tata Zest XE,Tata,2018,480000,1,Diesel
455,Maruti Suzuki Dzire,Maruti,2017,488000,1,Diesel
456,Tata Sumo Gold,Tata,2014,250000,1,Diesel
457,Toyota Corolla Altis,Toyota,2010,220000,1,Petrol
458,Maruti Suzuki Eeco,Maruti,2013,290000,1,LPG
459,Toyota Fortuner 3.0,Toyota,2015,1525000,1,Diesel
460,Mahindra XUV500 W6,Mahindra,2013,548900,1,Diesel
461,Tata Tigor Revotron,Tata,2019,650000,1,Diesel
462,Maruti Suzuki 800,Maruti,2001,55000,1,Petrol
463,Maruti Suzuki Ertiga,Maruti,2015,550000,1,Petrol
464,Maruti Suzuki Versa,Maruti,2004,90000,1,Petrol
465,Honda Mobilio S,Honda,2014,399000,1,Diesel
466,Maruti Suzuki Ertiga,Maruti,2016,730000,1,Diesel
467,Maruti Suzuki Vitara,Maruti,2017,725000,1,Diesel
468,Hyundai Verna 1.6,Hyundai,2016,195000,1,Diesel
469,Maruti Suzuki Swift,Maruti,2007,130000,1,Petrol
470,Toyota Fortuner 3.0,Toyota,2015,1525000,1,Diesel
471,Maruti Suzuki Omni,Maruti,2014,190000,1,Petrol
472,Honda Amaze,Honda,2013,250000,1,Diesel
473,Tata Indica,Tata,2005,80000,1,Petrol
474,Hyundai Santro Xing,Hyundai,2003,120000,1,Petrol
475,Maruti Suzuki Zen,Maruti,2010,149000,1,Petrol
476,Maruti Suzuki Wagon,Maruti,2014,250000,1,Petrol
477,Maruti Suzuki Wagon,Maruti,2007,120000,1,Petrol
478,Honda Brio VX,Honda,2017,450000,1,Petrol
479,Maruti Suzuki Zen,Maruti,2003,99999,1,Petrol
480,Maruti Suzuki Zen,Maruti,2008,135000,1,Petrol
481,Maruti Suzuki Wagon,Maruti,2016,225000,1,Diesel
482,Maruti Suzuki Alto,Maruti,2010,99000,1,Petrol
483,Renault Kwid RXT,Renault,2019,370000,1,Petrol
484,Tata Nano Lx,Tata,2010,52000,1,Petrol
485,Jaguar XE XE,Jaguar,2016,2800000,1,Petrol
486,Hyundai Eon Magna,Hyundai,2014,190000,1,Petrol
487,Honda City 1.5,Honda,2014,499000,1,Petrol
488,Hindustan Motors Ambassador,Hindustan,2002,90000,1,Diesel
489,Maruti Suzuki Ritz,Maruti,2010,149000,1,Petrol
490,Hyundai Grand i10,Hyundai,2017,400000,1,Petrol
491,Hyundai Eon D,Hyundai,2016,120000,1,Petrol
492,Maruti Suzuki Swift,Maruti,2015,250000,1,Petrol
493,Maruti Suzuki Wagon,Maruti,2017,375000,1,Petrol
494,Honda Amaze 1.2,Honda,2014,381000,1,Petrol
495,Maruti Suzuki Estilo,Maruti,2013,180000,1,Petrol
496,Maruti Suzuki Vitara,Maruti,2016,580000,1,Diesel
497,Maruti Suzuki Eeco,Maruti,2015,278000,1,Petrol
498,Hyundai Creta 1.6,Hyundai,2016,1000000,1,Petrol
499,Mahindra Scorpio Vlx,Mahindra,2013,690000,1,Diesel
500,Maruti Suzuki Ertiga,Maruti,2012,480000,1,Diesel
501,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,1,Petrol
502,Maruti Suzuki Maruti,Maruti,2001,40000,1,Petrol
503,Maruti Suzuki Alto,Maruti,2015,90000,1,Petrol
504,Hyundai Grand i10,Hyundai,2015,340000,1,Petrol
505,Hyundai Eon D,Hyundai,2018,260000,1,Petrol
506,Ford Fiesta SXi,Ford,2009,250000,1,Petrol
507,Maruti Suzuki Ritz,Maruti,2010,180000,1,Diesel
508,Hyundai Verna Fluidic,Hyundai,2012,350000,1,Diesel
509,Maruti Suzuki Wagon,Maruti,2006,90001,1,Petrol
510,Maruti Suzuki Estilo,Maruti,2007,115000,1,Petrol
511,Audi A6 2.0,Audi,2012,1599000,1,Diesel
512,Maruti Suzuki Wagon,Maruti,2003,130000,1,Petrol
513,Maruti Suzuki Wagon,Maruti,2009,159000,1,Petrol
514,Maruti Suzuki Wagon,Maruti,2009,160000,1,Petrol
515,Maruti Suzuki Alto,Maruti,2010,110000,1,Petrol
516,Maruti Suzuki Baleno,Maruti,2016,425000,1,Petrol
517,Hyundai Verna 1.6,Hyundai,2019,900000,1,Petrol
518,Maruti Suzuki Swift,Maruti,2009,150000,1,Petrol
519,Hyundai Getz Prime,Hyundai,2009,110000,1,Petrol
520,Hyundai Santro,Hyundai,2000,51999,1,Petrol
521,Hyundai Getz Prime,Hyundai,2009,115000,1,Petrol
522,Chevrolet Beat PS,Chevrolet,2012,215000,1,Diesel
523,Ford EcoSport Trend,Ford,2017,580000,1,Petrol
524,Maruti Suzuki Dzire,Maruti,2013,380000,1,Petrol
525,Hyundai Fluidic Verna,Hyundai,2013,350000,1,Diesel
526,Tata Indica V2,Tata,2005,35000,1,Diesel
527,BMW X1 xDrive20d,BMW,2011,1150000,1,Diesel
528,Hyundai i20 Asta,Hyundai,2010,300000,1,Petrol
529,Honda City 1.5,Honda,2009,269000,1,Petrol
530,Tata Nano,Tata,2013,60000,1,Petrol
531,Chevrolet Cruze LTZ,Chevrolet,2014,400000,1,Diesel
532,Hyundai Verna Fluidic,Hyundai,2015,430000,1,Diesel
533,Maruti Suzuki Swift,Maruti,2011,140000,1,Diesel
534,Mahindra XUV500 W10,Mahindra,2018,1299000,1,Diesel
535,Maruti Suzuki Alto,Maruti,2014,199000,1,Petrol
536,Hyundai Accent GLE,Hyundai,2006,90000,1,Petrol
537,Force Motors One,Force,2013,550000,1,Diesel
538,Maruti Suzuki Alto,Maruti,2019,265000,1,Petrol
539,Chevrolet Spark 1.0,Chevrolet,2011,100000,1,Petrol
540,Hyundai i10,Hyundai,2009,215000,1,Petrol
541,Toyota Etios Liva,Toyota,2012,380000,1,Diesel
542,Renault Duster 85PS,Renault,2013,401919,1,Diesel
543,Chevrolet Enjoy,Chevrolet,2014,490000,1,Diesel
544,Maruti Suzuki Alto,Maruti,2017,280000,1,Petrol
545,BMW 5 Series,BMW,2009,650000,1,Petrol
546,Toyota Etios Liva,Toyota,2014,160000,1,Petrol
547,Mahindra Jeep MM,Mahindra,2004,424000,1,Diesel
548,Chevrolet Beat LS,Chevrolet,2016,225000,1,Diesel
549,Chevrolet Cruze LTZ,Chevrolet,2011,350000,1,Diesel
550,Jeep Wrangler Unlimited,Jeep,2015,950000,1,Diesel
551,Maruti Suzuki Ertiga,Maruti,2013,485000,1,Diesel
552,Hyundai Verna VGT,Hyundai,2010,205000,1,Diesel
553,Maruti Suzuki Omni,Maruti,2012,160000,1,Petrol
554,Maruti Suzuki Celerio,Maruti,2018,310000,1,Petrol
555,Tata Zest Quadrajet,Tata,2017,180000,1,Diesel
556,Mahindra XUV500 W6,Mahindra,2013,549900,1,Diesel
557,Tata Indigo CS,Tata,2016,150000,1,Diesel
558,Hyundai i10 Era,Hyundai,2011,175000,1,Petrol
559,Tata Indigo eCS,Tata,2014,95000,1,Diesel
560,Tata Indigo LX,Tata,2016,230000,1,Diesel
561,Tata Indigo eCS,Tata,2016,230000,1,Diesel
562,Tata Indigo Marina,Tata,2004,180000,1,Diesel
563,Hyundai Xcent SX,Hyundai,2015,400000,1,Diesel
564,Hyundai Eon Magna,Hyundai,2013,185000,1,Petrol
565,Renault Duster 85,Renault,2015,385000,1,Diesel
566,Maruti Suzuki Alto,Maruti,2009,90000,1,Petrol
567,Tata Nano LX,Tata,2010,32000,1,Petrol
568,Renault Duster 110,Renault,2013,435000,1,Diesel
569,Maruti Suzuki Wagon,Maruti,2010,225000,1,Petrol
570,Maruti Suzuki Swift,Maruti,2006,189700,1,Petrol
571,Maruti Suzuki Ertiga,Maruti,2012,389700,1,Diesel
572,Maruti Suzuki Swift,Maruti,2014,365000,1,Petrol
573,Maruti Suzuki Alto,Maruti,2017,360000,1,Petrol
574,Hyundai i20 Magna,Hyundai,2010,210000,1,Petrol
575,Hyundai i10 Magna,Hyundai,2009,170000,1,Petrol
576,Tata Zest XE,Tata,2017,380000,1,Diesel
577,Mahindra Xylo E8,Mahindra,2009,295000,1,Diesel
578,Toyota Corolla Altis,Toyota,2010,185000,1,Petrol
579,Tata Manza Aqua,Tata,2014,160000,1,Diesel
580,Renault Kwid 1.0,Renault,2018,290000,1,Petrol
581,Tata Venture EX,Tata,2013,100000,1,Diesel
582,Maruti Suzuki Swift,Maruti,2014,315000,1,Petrol
583,Skoda Octavia Classic,Skoda,2006,114990,1,Diesel
584,Maruti Suzuki Omni,Maruti,2012,120000,1,LPG
585,Chevrolet Beat Diesel,Chevrolet,2011,125000,1,Diesel
586,Tata Sumo Gold,Tata,2012,210000,1,Diesel
587,Hyundai Verna 1.6,Hyundai,2018,855000,1,Diesel
588,Tata Sumo Gold,Tata,2012,210000,1,Diesel
589,Mahindra Scorpio 2.6,Mahindra,2007,260000,1,Diesel
590,Maruti Suzuki Zen,Maruti,2002,95000,1,Petrol
591,Maruti Suzuki Swift,Maruti,2011,255000,1,Petrol
592,Mahindra Scorpio SLX,Mahindra,2008,300000,1,Diesel
593,Hyundai Grand i10,Hyundai,2014,340000,1,Petrol
594,Hyundai Elite i20,Hyundai,2017,550000,1,Petrol
595,Ford Ikon 1.6,Ford,2003,60000,1,Petrol
596,Toyota Innova 2.5,Toyota,2011,750000,1,Diesel
597,Nissan Sunny XL,Nissan,2011,230000,1,Petrol
598,Chevrolet Beat LT,Chevrolet,2012,130000,1,Diesel
599,Maruti Suzuki Alto,Maruti,2017,270000,1,Petrol
600,Maruti Suzuki Swift,Maruti,2012,280000,1,Diesel
601,Maruti Suzuki Swift,Maruti,2012,280000,1,Diesel
602,Maruti Suzuki Swift,Maruti,2012,280000,1,Diesel
603,Toyota Innova 2.0,Toyota,2012,600000,1,Diesel
604,Maruti Suzuki Swift,Maruti,2010,190000,1,Diesel
605,Hyundai Elite i20,Hyundai,2015,500000,1,Petrol
606,Mahindra XUV500 W10,Mahindra,2016,1065000,1,Diesel
607,Volkswagen Polo Trendline,Volkswagen,2015,350000,1,Diesel
608,Toyota Etios Liva,Toyota,2012,350000,1,Diesel
609,Mahindra TUV300 T4,Mahindra,2016,540000,1,Diesel
610,Hyundai Elite i20,Hyundai,2015,470000,1,Petrol
611,Hyundai Santro Xing,Hyundai,2014,179000,1,Petrol
612,Maruti Suzuki Zen,Maruti,2003,48000,1,Petrol
613,Maruti Suzuki Ciaz,Maruti,2016,650000,1,Petrol
614,Hyundai Eon Era,Hyundai,2013,190000,1,Petrol
615,Hyundai Elantra 1.8,Hyundai,2012,500000,1,Petrol
616,Maruti Suzuki Swift,Maruti,2010,270000,1,Diesel
617,Maruti Suzuki Zen,Maruti,2008,125000,1,Petrol
618,Hyundai Eon Era,Hyundai,2012,188000,1,Petrol
619,Hyundai Grand i10,Hyundai,2016,380000,1,Petrol
620,Hyundai Verna Fluidic,Hyundai,2011,365000,1,Diesel
621,Ford EcoSport Trend,Ford,2014,465000,1,Petrol
622,Hyundai i20 Magna,Hyundai,2011,240000,1,Petrol
623,Chevrolet Beat Diesel,Chevrolet,2016,179999,1,Diesel
624,Tata Indica eV2,Tata,2015,140000,1,Diesel
625,Jaguar XF 2.2,Jaguar,2013,2190000,1,Diesel
626,Audi Q5 2.0,Audi,2014,2390000,1,Diesel
627,BMW 3 Series,BMW,2011,1075000,1,Diesel
628,Maruti Suzuki Swift,Maruti,2015,475000,1,Petrol
629,BMW X1 sDrive20d,BMW,2012,1025000,1,Diesel
630,Maruti Suzuki S,Maruti,2016,615000,1,Diesel
631,Maruti Suzuki Ertiga,Maruti,2013,475000,1,Diesel
632,Maruti Suzuki Alto,Maruti,2016,270000,1,Petrol
633,Honda City SV,Honda,2014,475000,1,Diesel
634,Volkswagen Vento Comfortline,Volkswagen,2011,240000,1,Petrol
635,Honda City 1.5,Honda,2005,120000,1,Petrol
636,Audi A4 2.0,Audi,2016,1900000,1,Diesel
637,Mahindra KUV100,Mahindra,2017,360000,1,Diesel
638,Tata Zest XE,Tata,2018,450000,1,Diesel
639,Mahindra XUV500 W8,Mahindra,2015,900000,1,Diesel
640,Maruti Suzuki Swift,Maruti,2017,650000,1,Diesel
641,Tata Sumo Gold,Tata,2014,275000,1,Diesel
642,Maruti Suzuki Swift,Maruti,2009,210000,1,Petrol
643,Mahindra Scorpio 2.6,Mahindra,2004,175000,1,Diesel
644,Maruti Suzuki Omni,Maruti,2009,85000,1,Petrol
645,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,1,Diesel
646,Renault Duster,Renault,2014,800000,1,Diesel
647,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,1,Diesel
648,Maruti Suzuki Ertiga,Maruti,2012,1000000,1,Diesel
649,Audi A4 2.0,Audi,2013,1510000,1,Diesel
650,Volvo S80 Summum,Volvo,2015,1850000,1,Diesel
651,Toyota Corolla Altis,Toyota,2014,790000,1,Petrol
652,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,1,Diesel
653,Chevrolet Beat LT,Chevrolet,2012,135000,1,Petrol
654,BMW X1,BMW,2011,1000000,1,Diesel
655,Datsun Redi GO,Datsun,2018,299999,1,Petrol
656,Mercedes Benz C,Mercedes,2009,1225000,1,Diesel
657,Mahindra Scorpio SLX,Mahindra,2004,175000,1,Diesel
658,Volkswagen Vento Comfortline,Volkswagen,2011,200000,1,Diesel
659,Tata Indigo CS,Tata,2017,270000,1,Diesel
660,Ford Figo Petrol,Ford,2019,525000,1,Petrol
661,Honda City ZX,Honda,2006,180000,1,Petrol
662,Maruti Suzuki Wagon,Maruti,2008,140000,1,Petrol
663,Ford EcoSport Trend,Ford,2014,400000,1,Petrol
664,Maruti Suzuki Swift,Maruti,2016,499000,1,Diesel
665,Maruti Suzuki Omni,Maruti,2009,85000,1,Petrol
666,Maruti Suzuki Zen,Maruti,2004,70000,1,Petrol
667,Renault Duster RxL,Renault,2015,550000,1,Petrol
668,Maruti Suzuki Swift,Maruti,2014,370000,1,Petrol
669,Maruti Suzuki Baleno,Maruti,2018,690000,1,Petrol
670,Honda WR V,Honda,2009,250000,1,Petrol
671,Tata Indigo CS,Tata,2016,110000,1,Diesel
672,Renault Duster 110,Renault,2013,490000,1,Diesel
673,Mahindra Scorpio LX,Mahindra,2009,320000,1,Diesel
674,Maruti Suzuki Zen,Maruti,2004,68000,1,Petrol
675,Maruti Suzuki Wagon,Maruti,2014,130000,1,Petrol
676,Maruti Suzuki SX4,Maruti,2016,970000,1,Diesel
677,Audi A3 Cabriolet,Audi,2015,3100000,1,Petrol
678,Hyundai Eon D,Hyundai,2018,280000,1,Petrol
679,Maruti Suzuki Zen,Maruti,2009,125000,1,Petrol
680,Mahindra Scorpio SLX,Mahindra,2008,285000,1,Diesel
681,Hyundai Santro AE,Hyundai,2011,165000,1,Petrol
682,Maruti Suzuki Swift,Maruti,2009,250000,1,Diesel
683,Mahindra Scorpio S4,Mahindra,2015,865000,1,Diesel
684,Mahindra Xylo D2,Mahindra,2011,390000,1,Diesel
685,Hyundai Santro,Hyundai,2003,60000,1,Petrol
686,Chevrolet Beat LT,Chevrolet,2015,215000,1,Diesel
687,Maruti Suzuki Swift,Maruti,2015,475000,1,Diesel
688,Mahindra XUV500 W8,Mahindra,2015,899000,1,Diesel
689,Toyota Fortuner 3.0,Toyota,2013,1499000,1,Diesel
690,Maruti Suzuki Alto,Maruti,2013,240000,1,Petrol
691,Hyundai Getz GLE,Hyundai,2007,99000,1,Petrol
692,Maruti Suzuki Swift,Maruti,2014,260000,1,Diesel
693,Hyundai Creta 1.6,Hyundai,2019,1200000,1,Petrol
694,Hyundai Santro Xing,Hyundai,2007,115000,1,Petrol
695,Hyundai Santro Xing,Hyundai,2009,88000,1,Petrol
696,Mahindra Xylo D2,Mahindra,2011,390000,1,Diesel
697,Hyundai Santro Xing,Hyundai,2007,135000,1,Petrol
698,Tata Indica V2,Tata,2009,90000,1,Diesel
699,Hyundai i10 Sportz,Hyundai,2011,220000,1,Petrol
700,Hyundai Grand i10,Hyundai,2017,424999,1,Petrol
701,Hyundai Santro Xing,Hyundai,2007,135000,1,Petrol
702,Honda City 1.5,Honda,2005,95000,1,Petrol
703,Nissan Micra XL,Nissan,2017,430000,1,Diesel
704,Honda City 1.5,Honda,2005,115000,1,Petrol
705,Maruti Suzuki Alto,Maruti,2015,215000,1,Petrol
706,Maruti Suzuki Wagon,Maruti,2004,53000,1,Petrol
707,Maruti Suzuki Ertiga,Maruti,2012,500000,1,Diesel
708,Tata Indica eV2,Tata,2012,85000,1,Diesel
709,Maruti Suzuki Omni,Maruti,2013,165000,1,Petrol
710,Hyundai Eon Era,Hyundai,2014,200000,1,Petrol
711,Hyundai Eon,Hyundai,2014,200000,1,Petrol
712,Maruti Suzuki Swift,Maruti,2015,425000,1,Diesel
713,Hyundai Verna 1.6,Hyundai,2012,600000,1,Diesel
714,Chevrolet Tavera LS,Chevrolet,2005,130000,1,Diesel
715,Tata Tiago Revotron,Tata,2018,430000,1,Petrol
716,Tata Tiago Revotorq,Tata,2019,568500,1,Petrol
717,Maruti Suzuki Zen,Maruti,2006,71000,1,Petrol
718,Mahindra KUV100 K8,Mahindra,2018,560000,1,Diesel
719,Ford EcoSport Titanium,Ford,2014,590000,1,Diesel
720,Hindustan Motors Ambassador,Hindustan,1995,750000,1,Petrol
721,Ford Fusion 1.4,Ford,2007,125000,1,Diesel
722,Hyundai Santro Xing,Hyundai,2007,135000,1,Petrol
723,Hyundai Santro,Hyundai,2002,60000,1,Petrol
724,Fiat Linea Emotion,Fiat,2009,120000,1,Petrol
725,Ford Ikon 1.3,Ford,2008,95000,1,Petrol
726,Maruti Suzuki Omni,Maruti,2017,240000,1,Petrol
727,Tata Indica V2,Tata,2012,115000,1,Diesel
728,Mahindra Scorpio S4,Mahindra,2015,795000,1,Diesel
729,Hyundai Santro Xing,Hyundai,2007,55000,1,Petrol
730,Mahindra Xylo D2,Mahindra,2009,300000,1,Diesel
731,Hyundai Grand i10,Hyundai,2014,320000,1,Petrol
732,Maruti Suzuki Alto,Maruti,2015,265000,1,Petrol
733,Toyota Corolla,Toyota,2006,160000,1,Petrol
734,Hyundai Eon Magna,Hyundai,2017,300000,1,Petrol
735,Tata Sumo Grande,Tata,2010,130000,1,Diesel
736,Maruti Suzuki Swift,Maruti,2011,250000,1,Diesel
737,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,1,Petrol
738,Maruti Suzuki Alto,Maruti,2003,42000,1,Petrol
739,Tata Tiago Revotron,Tata,2017,400000,1,Petrol
740,Maruti Suzuki Swift,Maruti,2009,120000,1,Diesel
741,Maruti Suzuki Swift,Maruti,2009,120000,1,Diesel
742,Tata Indigo eCS,Tata,2016,130000,1,Diesel
743,Chevrolet Beat LS,Chevrolet,2014,189000,1,Diesel
744,Mahindra Xylo E8,Mahindra,2011,365000,1,Diesel
745,Hyundai Eon D,Hyundai,2013,170000,1,Petrol
746,Tata Sumo Gold,Tata,2013,215000,1,Petrol
747,Tata Nano,Tata,2013,60000,1,Petrol
748,Hyundai Elite i20,Hyundai,2017,599999,1,Petrol
749,Hyundai i10 Magna,Hyundai,2009,400000,1,Petrol
750,Hyundai Creta,Hyundai,2016,900000,1,Diesel
751,Volkswagen Polo,Volkswagen,2013,299999,1,Diesel
752,Maruti Suzuki Dzire,Maruti,2014,374999,1,Petrol
753,Tata Bolt XM,Tata,2015,600000,1,Petrol
754,Maruti Suzuki Alto,Maruti,2005,70000,1,Petrol
755,Maruti Suzuki Alto,Maruti,2005,100000,1,Petrol
756,Maruti Suzuki Ritz,Maruti,2010,150000,1,Diesel
757,Maruti Suzuki Alto,Maruti,2017,225000,1,Petrol
758,Maruti Suzuki Dzire,Maruti,2009,210000,1,Petrol
759,Hyundai i20 Asta,Hyundai,2014,425000,1,Petrol
760,Maruti Suzuki Swift,Maruti,2008,162000,1,Diesel
761,Tata Indica V2,Tata,2005,60000,1,Diesel
762,Mahindra Scorpio VLX,Mahindra,2014,650000,1,Diesel
763,Toyota Innova 2.5,Toyota,2012,750000,1,Diesel
764,Mahindra Xylo E8,Mahindra,2010,375000,1,Diesel
765,Hyundai i20 Magna,Hyundai,2011,230000,1,Petrol
766,Maruti Suzuki Omni,Maruti,2000,35999,1,Petrol
767,Mahindra KUV100,Mahindra,2016,380000,1,Petrol
768,Mahindra KUV100 K8,Mahindra,2019,560000,1,Petrol
769,Datsun Go Plus,Datsun,2016,285000,1,Petrol
770,Ford Endeavor 4x4,Ford,2019,2900000,1,Diesel
771,Tata Indica V2,Tata,2005,39999,1,Diesel
772,Hyundai Santro Xing,Hyundai,2006,85000,1,Petrol
773,Maruti Suzuki Wagon,Maruti,2016,395000,1,Petrol
774,Maruti Suzuki Swift,Maruti,2008,175000,1,Diesel
775,Maruti Suzuki Alto,Maruti,2019,400000,1,Petrol
776,Toyota Innova 2.5,Toyota,2011,750000,1,Diesel
777,Maruti Suzuki Alto,Maruti,2016,250000,1,Petrol
778,Maruti Suzuki Alto,Maruti,2019,425000,1,Petrol
779,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,1,Petrol
780,Mahindra Logan,Mahindra,2009,130000,1,Diesel
781,Maruti Suzuki 800,Maruti,2000,30000,1,Petrol
782,Mahindra Scorpio,Mahindra,2011,475000,1,Diesel
783,Chevrolet Sail 1.2,Chevrolet,2013,300000,1,Petrol
784,Hyundai Santro AE,Hyundai,2003,60000,1,Petrol
785,Maruti Suzuki Wagon,Maruti,2006,100000,1,Petrol
786,Hyundai Eon,Hyundai,2018,260000,1,Petrol
787,Tata Manza,Tata,2015,100000,1,Diesel
788,Toyota Etios G,Toyota,2013,265000,1,Petrol
789,Hyundai Getz Prime,Hyundai,2009,115000,1,Petrol
790,Toyota Qualis,Toyota,2003,180000,1,Diesel
791,Hyundai Santro Xing,Hyundai,2004,45000,1,Petrol
792,Tata Indica eV2,Tata,2016,50500,1,Diesel
793,Honda City 1.5,Honda,2009,270000,1,Petrol
794,Tata Zest XE,Tata,2017,290000,1,Diesel
795,Mahindra Quanto C4,Mahindra,2013,325000,1,Diesel
796,Tata Indigo eCS,Tata,2016,160000,1,Diesel
797,Maruti Suzuki Swift,Maruti,2016,350000,1,Diesel
798,Hyundai Elite i20,Hyundai,2011,290000,1,Petrol
799,Hyundai i20 Select,Hyundai,2011,290000,1,Petrol
800,Chevrolet Tavera Neo,Chevrolet,2007,465000,1,Diesel
801,Maruti Suzuki Dzire,Maruti,2016,325000,1,Diesel
802,Hyundai Elite i20,Hyundai,2018,510000,1,Petrol
803,Honda City VX,Honda,2016,860000,1,Petrol
804,Maruti Suzuki Dzire,Maruti,2016,450000,1,Diesel
805,Hyundai Getz,Hyundai,2006,125000,1,Petrol
806,Mercedes Benz C,Mercedes,2006,500001,1,Petrol
807,Maruti Suzuki Alto,Maruti,2005,95000,1,Petrol
808,Maruti Suzuki Swift,Maruti,2009,250000,1,Diesel
809,Skoda Fabia,Skoda,2009,110000,1,Petrol
810,Maruti Suzuki Ritz,Maruti,2011,270000,1,Petrol
811,Tata Indica V2,Tata,2009,110000,1,Diesel
812,Toyota Corolla Altis,Toyota,2009,300000,1,Petrol
813,Tata Zest XM,Tata,2018,260000,1,Diesel
814,Mahindra Quanto C8,Mahindra,2013,390000,1,Diesel
